Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
GDP (current LCU),NY.GDP.MKTP.CN,Argentina,ARG,68921999360,180898005000,226638004200,236504973300,257440000000,258031750000,272149750000,292859000000,298948250000,283523000000,284203750000,268696750000,312580000000,375909500000,485115194700,582538172900,715904271700,896980174100,1149646090600,1247929268900,1661720925900,2179024103600,2637913848200,3348308488200,4579086425400,5954510895700,8228159556500,10660228494800,14744810677300,21558444149200,27209814143300,46219083510300,82810045469900,192408248028800,583909615483500,847622872687300
GDP (current LCU),NY.GDP.MKTP.CN,Brazil,BRA,11548794.5454545,60286000,640958800,14097114200,349204679000,705991552900,854763607800,952089196100,1002351019200,1087710456100,1199092070900,1315755467800,1488787255200,1717950396400,1957751213000,2170584503500,2409449921500,2720262937600,3109803088900,3333039355200,3885846999800,4376381999900,4814759999600,5331618999600,5778953000000,5995786999700,6269328000700,6585479000100,7004140999900,7389130999500,7609597000600,9012141999300,10079676679200,10943344667900,11779250581600,12738565613900
GDP (current LCU),NY.GDP.MKTP.CN,Canada,CAN,695501000000,701773000000,718436000000,747037000000,791972000000,831621000000,859834000000,906896000000,940538000000,1007920000000,1106063000000,1144535000000,1193689000000,1254744000000,1335725000000,1421585000000,1496604000000,1577660000000,1657044000000,1571337000000,1666052000000,1774072000000,1827198000000,1902235000000,1994899000000,1990444000000,2025535000000,2140646000000,2235674000000,2313568000000,2220529000000,2535813000000,2864153000000,2965201000000,3108551000000,3243465000000
GDP (current LCU),NY.GDP.MKTP.CN,China,CHN,1890960000000,2207090000000,2729560000000,3581970000000,4886220000000,6164940000000,7221060000000,8022500000000,8586390000000,9137890000000,10130860000000,11215730000000,12331190000000,13937730000000,16422800000000,18990750000000,22257840000000,27417970000000,32431780000000,35452160000000,41925330000000,49570760000000,54751060000000,60366040000000,65578290000000,70251150000000,76119300000000,84738290000000,93601010000000,100587240000000,103486760000000,117382300000000,123402940000000,129427170000000,134806620000000,140187920000000
GDP (current LCU),NY.GDP.MKTP.CN,Chile,CHL,10185011767834.3,13347474817400,16879478057800,20186462396700,24138573534700,29290620284700,32393861842300,35946985039900,37741618688100,38461785405000,42215029916800,45409054801000,48428963170100,52897338900000,60391763165300,68467939844200,81577533475700,90159479206000,93867121297700,96138477277400,110777866879100,121509298514000,129973394043200,137309192012500,147951290035900,158622902852000,168764687916600,179314910106100,189434867410000,195548149842200,201306507291200,239556270846100,262954242474300,282096646057000,310681169646900,339977710113700
GDP (current LCU),NY.GDP.MKTP.CN,Colombia,COL,24030173000000,31130592000000,39730752000000,52271688000000,67532862000000,84439109000000,100711389000000,121707501000000,140483322000000,151565005000000,208531000000000,225851000000000,245323000000000,272345000000000,307762000000000,337958000000000,381604000000000,428506000000000,476554000000000,501574000000000,544060000000000,619023000000000,666507000000000,714093000000000,762903000000000,804692000000000,863782000000000,920471000000000,987791000000000,1.060068E+15,998471000000000,1.192634E+15,1.471079E+15,1.5872E+15,1.713316E+15,1.853945E+15
GDP (current LCU),NY.GDP.MKTP.CN,France,FRA,1043974800000,1082833000000,1121458100000,1134838600000,1172960400000,1213802400000,1246973700000,1289669200000,1346317600000,1395148000000,1473517300000,1530070900000,1578330400000,1622312800000,1696107700000,1762047700000,1846020800000,1937876300000,1989999700000,1935840200000,1996075100000,2062141400000,2088286700000,2120351900000,2153733100000,2201401600000,2231819200000,2291680500000,2355362800000,2432206800000,2318276200000,2508102300000,2653997200000,2826541500000,2919899900000,2979085100000
GDP (current LCU),NY.GDP.MKTP.CN,Germany,DEU,1468939790000,1591610000000,1709890000000,1757340000000,1838020000000,1899930000000,1928560000000,1967180000000,2022310000000,2077240000000,2129660000000,2195530000000,2223360000000,2240810000000,2293040000000,2325710000000,2426180000000,2542220000000,2589280000000,2493970000000,2615260000000,2746910000000,2799280000000,2866480000000,2984470000000,3087030000000,3195210000000,3333110000000,3434030000000,3537280000000,3450720000000,3682340000000,3989390000000,4219310000000,4328970000000,4469910000000
GDP (current LCU),NY.GDP.MKTP.CN,India,IND,5761092055700,6622604835400,7611959317400,8759924253800,10275700589000,12055826758000,13948159747000,15452938758000,17722970117000,19882615729000,21398856906000,23152429571000,24926137847000,27925301414000,31863319237500,36321246607300,42546289837700,48986620590700,55141523846600,63664065417500,76344721043800,87363287113700,99440131041500,112335216116400,124679592925500,137718738788600,153916690148700,170900423611300,188996684445900,201035928565900,198540960065000,235973985282900,261176269506000,289839093039700,318073085842200,345471567964600
GDP (current LCU),NY.GDP.MKTP.CN,Japan,JPN,471009168476000,501767323049000,514777953613000,515121641821000,521675100000000,530463200000000,546227900000000,554111800000000,543304000000000,534107100000000,543394800000000,539441600000000,532390800000000,530211800000000,534634100000000,537385200000000,540566000000000,544571100000000,533355400000000,499361700000000,510139600000000,501142000000000,505377100000000,514553300000000,528215600000000,548866700000000,555970600000000,565119000000000,569153500000000,571838000000000,554074400000000,573568800000000,584900600000000,616033000000000,634226000000000,663757300000000
