variable_dashboard,columna_original,columna_real,unidad
PIB,gdp_nominal_mxn,gdp_real_2018_mxn,MXN corrientes / MXN 2018
DEUDA TOTAL,public_debt_total_mxn,real_public_debt_2018_mxn,MXN corrientes / MXN 2018
DEUDA INTERNA,public_debt_internal_mxn,real_public_debt_internal_2018_mxn,MXN corrientes / MXN 2018
DEUDA EXTERNA,public_debt_external_mxn,real_public_debt_external_2018_mxn,MXN corrientes / MXN 2018
DEUDA / PIB,debt_to_gdp_pct,,% del PIB
DEUDA PER CÁPITA,debt_per_capita_mxn,debt_per_capita_real_2018_mxn,MXN por persona
INFLACIÓN,inflation_annual_pct,,% promedio anual
INFLACIÓN DIC-DIC,inflacion_dic_dic_pct,,% diciembre-diciembre
INFLACIÓN ACUMULADA,inflation_accumulated_since_1990_pct,,% acumulado
POBLACIÓN,population,,personas
PIB PER CÁPITA REAL,gdp_real_per_capita_2018_mxn,gdp_real_per_capita_2018_mxn,MXN 2018 por persona
TIPO DE CAMBIO,exchange_rate_fix_mxn_usd_avg,,MXN/USD
EXPORTACIONES,exports_usd,exports_real_2018_mxn,USD corrientes / MXN 2018
IMPORTACIONES,imports_usd,imports_real_2018_mxn,USD corrientes / MXN 2018
REMESAS,remittances_usd,remittances_real_2018_mxn,USD corrientes / MXN 2018
INVERSIÓN EXTRANJERA,fdi_usd,fdi_real_2018_mxn,USD corrientes / MXN 2018
INVERSIÓN INTERNA,domestic_investment_mxn,domestic_investment_real_2018_mxn,MXN corrientes / MXN 2018
INVERSIÓN TOTAL,investment_total_mxn,investment_total_real_2018_mxn,MXN corrientes / MXN 2018
DEFLACTOR DEL PIB,gdp_deflator_index,,índice 2018=100
DESEMPLEO,unemployment_pct,,% PEA
POBRES,poverty_pct,,% población
POBREZA EXTREMA,extreme_poverty_pct,,% población
DESIGUALDAD,gini_index,,índice
CLASE MEDIA,middle_class_pct,,% población
RICOS / CLASE ALTA,rich_or_high_class_pct,,% población
